Auther
Tony Allcock
Patrick G. McKeown
Graham Poll
One Direction
McGraw-Hill Education
Eve Zibart
The Editors of the Webster's New World Dictionaries
Hattie
Steven D. Strauss
Alicia F. Lieberman
B.F Skinner
RINEHART AND WINSTON HOLT
Antwone Q. Fisher
Richard M. Cohen
John W. James
Jackie French
Peggy Parish
Sterling Seagrave
Jane Stern
Laura Numeroff
Toni Weschler
Eric Hoffer
Neil Gaiman
Julie Markes
Liane Moriarty
Richard Elliott Friedman
Huston Smith
Nikki Giovanni
Steven D. Levitt
Robert Gottlieb
Peggy Post
Joseph Delaney
Zondervan
Laozi
Willis Barnstone
Steve Turner
Joyce Carol Oates
Gayle Sand
Susan Forward
Fred Gipson
Larry Gonick
Pierre Teilhard de Chardin
Melanie Barnard
John O'Donohue
Robert A. Johnson
James P. Womack
Megan McNeill Libby
Gary Regan
Margie Palatini
James Grayson Trulove
Joy King
Colin Thubron
Tom Sloper
Zecharia Sitchin
Jeaniene Frost
Roy Wenzl
Michael Grant
Colleen McCullough
Mario Beauregard
Dani Shapiro
Michele Siegel
Michael Crichton
Nick Knight
H. Keith Melton
Michael Haag
James Rollins
John N. Maclean
Ashley Fiolek
Larry Marion
Baratunde Thurston
Sandra Hill
Christine Feehan
Adam Rex
Agatha Christie
Eric Litwin
James Dean
Harvey Karp
Robin Hobb
Jenny Bowen
Sam McBratney
Robert Evans
Charles Todd
Susan Spencer-Wendel
Matthew Hussey
Attica Locke
Tom Robbins
Lauren Oliver
Dorothy L. Sayers
Terry Pratchett
Michael Largo
Mihaly Csikszentmihalyi
Boris Fishman
Janie Chang
Howard Blum
Maria Dahvana Headley
Lisa Randall
Pope Francis
Bob McKenzie
Nigel Barker
Chuck Wendig
Craig Cooper
Julie Brannagh
Ian Douglas
Gabriel Garcia Marquez
Tara Gallagher
Jamie Sams
Sogyal Rinpoche
Franklyn M. Branley
Seymour Simon
Bruce O. Berg
Mary Ludwig
Hervey Garrett Smith
Brian O'Neill
The Dewberry Companies
Terry Kennedy
Elizabeth Pantley
Henry Abts
Migael Scherer
Lesley Adamson
Myrna Bell Rochester
Richard Spears
Bradley Sugars
Nick Schade
Merle Potter
Mitch Tilbury
Jason Price
Jason Selk
Brian Leaf
Live ABC
J.C. Das
Michel Bruneau
Jorge Chavarro
Ron Hackett
Carolan Sherman
Susan Cameron
Allyson Ambrose
Lawrence Polsky
Robert Yetman
Michael McLaughlin
Owen Cole
Richard de Neufville
Jerry Eichenberger
Kerry Patterson
Nicholas Falletta
Anthony Trevor
Jackson Morley
Jack Canfield
Dr. Janet Wall
Leslie Capachietti
Guy Kawasaki
Mark L. Dean
Donald Norris
George Hademenos
Bertram Katzung
Mary Crocker
John Watson
Gilda Nissenberg
Christopher Black
D.A. Saia
Robert Stewart
Chuck Easttom
Koni S. Christensen
Editors of McGraw-Hill Education
Jean Armour Polly
Stephen J. Bigelow
Kevin Loney
Jerrold S Greenberg
George Brooks
Sandra Noll Hammond
Jan Kuzma
Beryl Simpson
David Ling
Eric Widmaier
Jimmie Hinze
Peter Brown
Robert Frank
Douglas Lind
Dawn Bennett-Alexander
William Palm III
John Carter
Mary Stewart
Linda O'Leary
Robert Cohen
J. David Spiceland
"Jr., William Perreault"
Timothy Doupnik
Gordon Wardlaw
Stephen Barrett
Carl Hart
Joann Keyton
Theodore Schick
Helen Kowtaluk
Johnson & Wales
Frances S. Shofer
Alan G. Bole
Peter Mansfield
Office of Government Commerce
Christian F. Nissen
Susan Libes
I. S. Gradshteyn
Peter Pacheco
Charles Nemeth JD  Ph.D.  LL.M
